time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
22.148,0.433,-1.829,1.766,304.454,1039.739
22.198,0.431,-1.717,3.000,303.840,1040.674
22.248,0.432,-1.892,2.403,304.349,1040.440
22.299,0.428,-1.677,2.567,303.970,1041.148
22.348,0.427,-1.680,2.590,304.192,1039.319
22.398,0.424,-1.855,2.856,304.612,1040.123
22.448,0.424,-1.742,9.120,304.006,1041.406
22.498,0.432,-1.847,0.567,304.745,1042.806
22.548,0.433,-1.806,2.458,304.332,1043.575
22.598,0.427,-1.872,12.019,304.122,1043.206
22.648,0.426,-1.894,2.199,304.199,1044.165
22.698,0.427,-1.776,2.488,304.137,1042.716
22.748,0.427,-1.844,2.032,304.427,1043.480
22.798,0.428,-1.732,2.629,304.229,1044.147
22.848,0.426,-1.917,3.148,304.632,1044.694
22.898,0.432,-1.783,2.209,304.683,1044.476
22.948,0.429,-1.755,1.746,304.237,1044.426
22.998,0.426,-1.796,2.416,304.301,1043.910
23.048,0.425,-1.831,2.229,304.707,1045.093
23.098,0.436,-1.831,6.759,303.892,1046.036
23.149,0.437,-1.957,2.669,304.751,1046.399
23.198,0.446,-1.803,1.946,304.009,1046.287
23.248,0.445,-1.848,2.577,304.088,1045.112
23.298,0.435,-1.987,3.634,304.232,1045.705
23.348,0.439,-1.822,2.133,303.973,1045.920
23.398,0.430,-1.763,2.580,304.728,1047.730
23.448,0.431,-1.768,2.902,304.483,1049.175
23.498,0.436,-1.757,2.173,303.959,1049.510
23.548,0.438,-1.767,2.603,304.182,1051.654
23.598,0.440,-1.904,-0.726,303.986,1050.704
23.648,0.438,-1.762,1.785,304.559,1051.331
23.698,0.433,-1.805,1.359,304.009,1051.884
23.748,0.435,-1.852,2.225,304.264,1053.105
23.799,0.437,-1.970,3.102,304.525,1053.340
23.849,0.434,-1.708,1.605,303.953,1052.251
23.899,0.428,-1.698,2.547,304.571,1051.680
23.949,0.429,-1.798,2.583,304.618,1052.258
23.998,0.429,-1.812,3.164,304.375,1052.968
24.049,0.428,-1.767,2.570,304.503,1052.532
24.098,0.442,-1.807,2.202,304.091,1053.070
24.149,0.441,-1.732,2.619,304.272,1051.196
24.198,0.441,-1.907,1.969,304.577,1051.084
24.249,0.440,-1.727,2.347,304.249,1051.569
24.298,0.436,-1.888,0.646,304.776,1052.649
24.349,0.437,-1.760,1.933,304.432,1052.640
24.398,0.434,-1.822,2.619,304.148,1052.272
24.448,0.435,-1.949,1.214,304.695,1053.349
24.498,0.426,-1.866,2.153,303.977,1052.648
24.548,0.428,-1.974,-2.827,304.605,1053.783
24.598,0.428,-1.726,1.414,303.843,1053.660
24.648,0.427,-1.882,2.587,304.796,1054.409
24.698,0.429,-1.788,2.705,304.863,1054.824
24.749,0.431,-1.922,2.452,304.209,1054.919
24.798,0.431,-1.891,-0.496,304.864,1054.302
24.848,0.434,-1.724,2.984,304.614,1054.432
24.899,0.431,-1.912,2.370,304.327,1054.307
24.949,0.430,-1.935,2.613,304.467,1054.472
24.998,0.436,-1.788,2.248,304.123,1054.493
25.048,0.433,-1.928,2.163,304.226,1053.531
25.098,0.439,-1.864,2.646,304.976,1053.198
25.149,0.440,-1.948,2.751,304.038,1053.179
25.198,0.427,-1.862,2.409,304.899,1054.103
25.248,0.427,-1.981,-2.230,304.148,1054.227
25.299,0.428,-1.830,2.294,304.564,1054.517
25.349,0.425,-1.951,2.587,304.568,1053.405
25.398,0.430,-1.945,2.435,304.140,1052.190
25.448,0.430,-1.978,2.301,304.592,1051.905
25.498,0.429,-1.943,2.715,304.386,1052.252
25.548,0.428,-1.869,2.383,304.670,1051.720
25.598,0.433,-1.910,2.646,304.306,1051.623
25.649,0.434,-1.808,2.015,304.692,1051.658
25.698,0.427,-1.897,3.053,304.464,1049.787
25.748,0.428,-1.896,3.040,304.411,1049.477
25.798,0.432,-1.784,2.147,304.101,1051.366
25.848,0.432,-2.013,2.731,304.486,1049.977
25.898,0.424,-1.818,1.999,304.209,1050.095
25.948,0.425,-2.100,2.531,304.916,1049.840
25.998,0.429,-1.921,2.652,304.807,1048.171
26.048,0.426,-2.093,2.055,303.994,1047.776
26.098,0.429,-2.079,3.033,304.700,1048.052
26.148,0.429,-1.982,2.130,303.950,1047.701
26.199,0.425,-1.826,1.907,304.847,1048.410
26.248,0.424,-2.050,2.741,304.756,1047.527
26.298,0.428,-1.857,2.242,304.075,1046.902
26.348,0.429,-1.873,-2.847,304.918,1046.140
26.398,0.434,-1.830,3.496,304.269,1045.227
26.449,0.434,-1.853,2.419,304.500,1045.753
26.498,0.434,-1.951,2.659,304.748,1045.275
