Model : ,06,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.08,0.27,0.09,0.08,0.08,0.03,-0.01,290.70,29.36,0.00,-0.64,-2.41
-0.08,0.24,0.08,0.08,0.09,0.05,-0.00,289.72,29.37,0.00,-0.68,-2.53
-0.08,0.20,0.07,0.07,0.09,0.07,0.01,290.89,29.37,0.00,-0.71,-2.68
-0.08,0.18,0.06,0.06,0.09,0.08,0.02,294.19,29.38,0.00,-0.74,-2.82
-0.08,0.16,0.05,0.04,0.08,0.08,0.02,299.25,29.38,0.00,-0.79,-2.96
-0.08,0.17,0.05,0.02,0.08,0.07,0.02,304.66,29.39,0.00,-0.84,-3.04
-0.08,0.19,0.05,0.01,0.07,0.06,0.02,308.52,29.39,0.00,-0.84,-3.06
-0.07,0.22,0.05,-0.00,0.06,0.04,0.01,309.73,29.39,0.00,-0.78,-2.98
-0.06,0.24,0.07,0.00,0.05,0.02,0.00,308.52,29.38,0.00,-0.66,-2.85
-0.05,0.27,0.08,0.01,0.04,0.01,-0.01,305.77,29.38,0.00,-0.53,-2.69
-0.05,0.28,0.09,0.02,0.04,-0.01,-0.02,302.46,29.38,0.00,-0.41,-2.55
-0.05,0.30,0.11,0.04,0.05,-0.01,-0.02,299.60,29.39,0.00,-0.31,-2.44
-0.05,0.30,0.12,0.06,0.06,-0.01,-0.03,298.11,29.39,0.00,-0.21,-2.40
-0.06,0.30,0.12,0.07,0.07,-0.01,-0.03,298.37,29.39,0.00,-0.06,-2.41
-0.07,0.29,0.11,0.08,0.09,0.00,-0.02,299.76,29.39,0.00,0.11,-2.48
-0.07,0.28,0.10,0.08,0.10,0.01,-0.01,301.02,29.39,0.00,0.26,-2.59
-0.08,0.26,0.08,0.08,0.11,0.03,-0.00,301.22,29.39,0.00,0.37,-2.76
-0.08,0.24,0.07,0.07,0.10,0.05,0.01,300.08,29.39,0.00,0.41,-2.93
-0.08,0.22,0.06,0.05,0.10,0.06,0.02,297.54,29.39,0.00,0.36,-3.05
-0.07,0.20,0.05,0.03,0.09,0.07,0.03,293.81,29.39,0.00,0.22,-3.05
-0.07,0.20,0.05,0.02,0.08,0.07,0.03,290.06,29.39,0.00,0.04,-2.97
-0.07,0.20,0.04,0.00,0.07,0.07,0.03,288.19,29.39,0.00,-0.08,-2.83
-0.06,0.22,0.05,-0.00,0.06,0.05,0.03,289.31,29.38,0.00,-0.06,-2.67
-0.06,0.24,0.06,0.01,0.04,0.03,0.02,292.93,29.38,0.00,0.05,-2.53
-0.06,0.27,0.07,0.02,0.04,0.01,0.01,297.86,29.38,0.00,0.12,-2.45
-0.06,0.29,0.08,0.03,0.04,-0.00,0.00,302.97,29.38,0.00,0.04,-2.43
-0.06,0.30,0.09,0.05,0.04,-0.01,-0.01,307.11,29.38,0.00,-0.15,-2.47
-0.06,0.30,0.11,0.06,0.06,-0.00,-0.01,309.27,29.39,0.00,-0.29,-2.55
